SampleName,Phylogroup,Subphylogroup,Lineage,NewTreeTipLabel,type,subtype,GeneCount,GeneNames
0CC1F_S1A31,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A32,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A33,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A33,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A34,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A35,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A35,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A36,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A36,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A38,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A39,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A39,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1F_S1A42,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A43,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A45,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A46,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1F_S1A47,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1F_S1A47,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1K_S1B01,H,H.2,acera26,Researcher - Lineage 26,AbiD,AbiD,1,AbiD__AbiD
0CC1K_S1B01,H,H.2,acera26,Researcher - Lineage 26,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1K_S1B01,H,H.2,acera26,Researcher - Lineage 26,Gabija,Gabija,1,Gabija__GajB_2
0CC1K_S1B01,H,H.2,acera26,Researcher - Lineage 26,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC1K_S1B01,H,H.2,acera26,Researcher - Lineage 26,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC1K_S1B04,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B06,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B07,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B08,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1K_S1B08,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1K_S1B10,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B11,H,H.2,acera26,Researcher - Lineage 26,AbiD,AbiD,1,AbiD__AbiD
0CC1K_S1B11,H,H.2,acera26,Researcher - Lineage 26,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1K_S1B11,H,H.2,acera26,Researcher - Lineage 26,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC1K_S1B11,H,H.2,acera26,Researcher - Lineage 26,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC1K_S1B11,H,H.2,acera26,Researcher - Lineage 26,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC1K_S1B13,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B15,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B16,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1K_S1B18,H,H.2,acera26,Researcher - Lineage 26,AbiD,AbiD,1,AbiD__AbiD
0CC1K_S1B18,H,H.2,acera26,Researcher - Lineage 26,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1K_S1B18,H,H.2,acera26,Researcher - Lineage 26,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC1K_S1B18,H,H.2,acera26,Researcher - Lineage 26,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC1K_S1B18,H,H.2,acera26,Researcher - Lineage 26,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC1K_S1B23,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1K_S1B23,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1K_S1B24,K,K.2,acera33,Researcher - Lineage 33 - TP1,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC1N_S1D74,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D74,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1N_S1D82,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D82,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1N_S1D85,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D85,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1N_S1D86,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D86,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1N_S1D89,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D89,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC1N_S1D91,H,H.2,acera26,Researcher - Lineage 26,AbiD,AbiD,1,AbiD__AbiD
0CC1N_S1D91,H,H.2,acera26,Researcher - Lineage 26,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D91,H,H.2,acera26,Researcher - Lineage 26,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC1N_S1D91,H,H.2,acera26,Researcher - Lineage 26,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuC_acc_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuB_SMC_hypothetical
0CC1N_S1D91,H,H.2,acera26,Researcher - Lineage 26,RM,RM_Type_III,2,RM_Type_III__Type_III_MTases;RM_Type_III__Type_III_REases
0CC1N_S1D92,F,F.3,acera34,Researcher - Lineage 34 - TP1,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC1N_S1D92,F,F.3,acera34,Researcher - Lineage 34 - TP1,RM,RM_Type_IIG,1,RM_Type_IIG__Type_IIG
0CC2C_S1B78,K,K.1.2,acera35,Researcher - Lineage 35 - TP2,Cas,CAS_Class1-Subtype-I-E,8,Cas__cas5_I-E_13;Cas__cas6e_I_II_III_IV_V_VI_3;Cas__cas7_I-E_16;Cas__cse2gr11_I-E_6;Cas__cas3_I_2;Cas__cas8e_I-E_5;Cas__cas2_I-E_1;Cas__cas1_I-E_1
0CC2C_S1B84,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2C_S1B84,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2C_S1B84,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajA;Gabija__GajB_2
0CC2C_S1B84,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2C_S1B84,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_MTases;RM_Type_III__Type_III_REases
0CC2C_S1B85,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2C_S1B85,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2C_S1B85,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2C_S1B85,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2C_S1B85,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C01,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C01,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C01,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C01,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C01,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C03,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C03,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C03,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C03,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C03,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C04,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C04,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C04,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C04,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C04,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C05,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C05,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C05,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C05,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C05,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C10,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C10,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C10,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C10,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C10,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C11,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C11,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C11,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C11,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C11,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C18,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C18,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C18,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C18,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C18,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
0CC2F_S1C19,H,H.2,acera36,Researcher - Lineage 36 - TP2,AbiD,AbiD,1,AbiD__AbiD
0CC2F_S1C19,H,H.2,acera36,Researcher - Lineage 36 - TP2,Cas,CAS_Class1-Subtype-I-E,1,Cas__cas2_I-E_1
0CC2F_S1C19,H,H.2,acera36,Researcher - Lineage 36 - TP2,Gabija,Gabija,2,Gabija__GajB_2;Gabija__GajA
0CC2F_S1C19,H,H.2,acera36,Researcher - Lineage 36 - TP2,Lamassu-Fam,Lamassu-Fam,3,Lamassu-Fam__LmuB_SMC_hypothetical;Lamassu-Fam__LmuA_effector_hypothetical;Lamassu-Fam__LmuC_acc_hypothetical
0CC2F_S1C19,H,H.2,acera36,Researcher - Lineage 36 - TP2,RM,RM_Type_III,2,RM_Type_III__Type_III_REases;RM_Type_III__Type_III_MTases
