SampleName,type,subtype,protein
2PA1N_PN60,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0242,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN54,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0240,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN45,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_55_23YDC_E755,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0246,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN55,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_29_23YDC_C529,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0235,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_33_23YDC_C933,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0254,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3N_Z05_33_16YB_D933,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0357,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3N_Z05_34_16YB_D1034,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0346,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_30_23YDC_C630,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0350,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z05_60_16YB_H1260,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z05_59_16YB_H1159,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z05_38_16YB_F238,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0256,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0262,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z05_42_16YB_F642,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z05_49_16YB_G449,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0361,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1C_X0657,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_35_23YDC_C1135,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_27_23YDC_C327,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0358,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3N_Z05_30_16YB_D630,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_59_23YDC_E1159,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0340,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2AB1K_X0309,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0260,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0234,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0248,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3C_Z05_58_16YB_H358,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_40_23YDC_D440,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0249,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_58_23YDC_E1058,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN59,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_60_23YDC_E1260,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0345,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_42_16YB_F642,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_49_16YB_G449,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0361,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1C_X0657,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_35_23YDC_C1135,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_27_23YDC_C327,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0358,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3N_Z05_30_16YB_D630,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_59_23YDC_E1159,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0340,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2AB1K_X0309,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0260,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0234,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0248,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_58_16YB_H358,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_40_23YDC_D440,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0249,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_33_23YDC_C933,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0235,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_29_23YDC_C529,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0359,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1C_X0661,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0253,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0258,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0261,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0360,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_31_23YDC_C731,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0244,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_57_23YDC_E957,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0262,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_55_16YB_G1155,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0256,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_59_16YB_H1159,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2AA1K_X0108,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0236,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0257,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0351,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_26_23YDC_C226,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0356,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_28_23YDC_C428,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN56,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN35,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0353,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1C_X0644,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_56_23YDC_E856,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0245,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1N_PN34,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0255,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_34_23YDC_C1034,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0250,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0237,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1C_X0635,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_25_23YDC_C125,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_55_16YB_G1155,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1K_X0254,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3N_Z05_33_16YB_D933,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0357,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3N_Z05_34_16YB_D1034,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0346,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_30_23YDC_C630,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA1F_X0350,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_60_16YB_H1260,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z05_38_16YB_F238,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_25_23YDC_C125,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1C_X0635,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0237,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN56,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN35,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0353,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0644,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_56_23YDC_E856,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0245,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN34,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0255,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_34_23YDC_C1034,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0250,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0237,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0635,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_25_23YDC_C125,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_55_16YB_G1155,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0254,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3N_Z05_33_16YB_D933,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0357,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3N_Z05_34_16YB_D1034,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0346,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_30_23YDC_C630,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0350,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_60_16YB_H1260,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_59_16YB_H1159,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_38_16YB_F238,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0256,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0262,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_42_16YB_F642,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_49_16YB_G449,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0361,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_28_23YDC_C428,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0657,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0356,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0351,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0244,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA3F_Z01_57_23YDC_E957,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA1K_X0263,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA3F_Z01_32_23YDC_C832,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA1K_X0252,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA3C_Z03_56_23YCC_B856,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2AB1K_X0306,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA1F_X0347,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA1N_PN55,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA1C_X0639,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0337,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0241,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0656,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_37_23YDC_D137,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0247,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN60,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0242,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN54,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0240,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN45,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_55_23YDC_E755,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0246,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_58_23YDC_E1058,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN59,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_60_23YDC_E1260,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0345,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2AA1K_X0108,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0236,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0257,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_26_23YDC_C226,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0263,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_35_23YDC_C1135,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0358,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0247,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN60,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0242,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN54,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0240,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN45,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_55_23YDC_E755,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0246,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_58_23YDC_E1058,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN59,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_60_23YDC_E1260,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0345,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2AA1K_X0108,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0236,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0257,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0351,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_26_23YDC_C226,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0356,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_28_23YDC_C428,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN56,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN35,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0353,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1C_X0644,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_56_23YDC_E856,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0245,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1N_PN34,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0255,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_34_23YDC_C1034,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0250,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_37_23YDC_D137,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_27_23YDC_C327,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0656,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1F_X0337,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3N_Z05_30_16YB_D630,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_59_23YDC_E1159,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0340,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2AB1K_X0309,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0260,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0234,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0248,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z05_58_16YB_H358,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_40_23YDC_D440,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0249,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_33_23YDC_C933,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0235,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_29_23YDC_C529,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0661,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0253,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0258,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0261,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0360,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_31_23YDC_C731,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0244,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_57_23YDC_E957,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0263,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3F_Z01_32_23YDC_C832,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1K_X0252,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA3C_Z03_56_23YCC_B856,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2AB1K_X0306,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1F_X0347,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1N_PN55,Cas,CAS_Class1-Subtype-I-E,Cas__cas7_I-E_16
2PA1C_X0639,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA1K_X0241,Cas,CAS_Class1-Subtype-I-E,Cas__cse2gr11_I-E_6
2PA3F_Z01_31_23YDC_C731,Cas,CAS_Class1-Subtype-I-E,Cas__cas6e_I_II_III_IV_V_VI_3
2PA3F_Z01_32_23YDC_C832,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3C_Z03_56_23YCC_B856,Cas,CAS_Class1-Subtype-I-E,Cas__cas3_I_2
2PA3F_Z01_58_23YDC_E1058,Cas,CAS_Class1-Subtype-I-E,Cas__cas2_I-E_1
2PA3F_Z01_26_23YDC_C226,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1F_X0351,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1K_X0257,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1K_X0236,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2AA1K_X0108,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1F_X0345,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1N_PN59,Cas,CAS_Class1-Subtype-I-E,Cas__cas2_I-E_1
2PA3F_Z01_60_23YDC_E1260,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1N_PN59,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA3F_Z01_60_23YDC_E1260,Cas,CAS_Class1-Subtype-I-E,Cas__cas2_I-E_1
2PA1F_X0345,Cas,CAS_Class1-Subtype-I-E,Cas__cas2_I-E_1
2PA3F_Z01_58_23YDC_E1058,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA3F_Z01_28_23YDC_C428,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1K_X0246,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA3F_Z01_55_23YDC_E755,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1N_PN45,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
2PA1K_X0236,Cas,CAS_Class1-Subtype-I-E,Cas__cas2_I-E_1
2PA1K_X0240,Cas,CAS_Class1-Subtype-I-E,Cas__cas1_I-E_1
